# wind_farm_viz 原提交 SHA → 迁入 Dachuang-SZLS 后的新 SHA
# 重写方式：git filter-repo 三步（1. 7 份项目 md 自 技能库&准则/ 归位到 skills-notes/；2. 剔除 技能库&准则/ 全部历史；3. 整树加 viz/ 前缀）
# 生成于 2026-09-19；原仓库 https://github.com/sunccchengze/wind_farm_viz ；来源 = main(617b179a) + arena/01a083c6(b3f5cc78) + arena/01a0a074(992f6665)
# 用法：旧文档里出现的 8 位短 SHA，在本表 old_sha 列查到对应 new_sha，再 git show <new_sha>
old_sha	new_sha	subject
f15b2314778ad14a7de36c7fda4ca14fc1598be4	9dc5e2ec6b7847b0ab59ea75cc15b462a974b339	Initial commit
d34b3accde18de1345c5e086428311189ab9affa	11ffaab9050388569fe295981b683e27656b9881	Add files via upload
0a4739a2c6ac43c7aafc32f5df62ee907a6be69f	8940347b5f153e4e25dbe88706ec727ed922163c	first commit
4c86269a3268d324629315380d28a857aca63206	7cac69ff1515d83838389da075bbb4ba4fa47a3f	重构为多页面架构
0a64eda360d99c5de8e1cdb0a58abdc99ac60cc1	6e1900adf4a77fb4fa58526d874251e8f6c777b1	修复requirements.txt冲突标记
f7f9b44efa3a44ff6a3ea4bd9314df0ced656123	dae2cc5b3c5b1e45054d728c4122a843d590b116	新增3D体渲染、热力矩阵、优化求解器
2dfd7c63798845fb6b6cd856ae19eb489838735d	39e63e9107accefd3c567508fea68913d6971220	玻璃态主页 + 悬停动效
eb3764fa6e4a8b19e64f47286933fee5ca930017	e1f90d1a2ad3de50956a358df9cbf0e0a9f88499	新增POD分析页面 + pod_analysis脚本
bead21a9c1b8b24da27a527f4fd7f307683fc83f	f7e9153e22aa496767b58f97897abbfe7792adda	玻璃主页修复 + 侧边栏深色导航
573fa02364d8d19b7e5337f735b5cfeb6e0b8b0a	1bed6563ee6d69b7c59079c8206ba77012aad581	新增阵列优化、功率跟踪页面，主页更新至10个模块
cf8a582335300e8acc0509e2dd49619527b7471f	aed84c877cdf1aa8235b547d281e216371f0075b	更新README，完整记录10个页面和所有数据接口
9ef645e3ca8a36f11113269f16fc019cff63e2df	bcb81304e11f334b7d197c9d90b3b32e48e7e568	修复3D体渲染30度偏航伪影
dc05658b8a2c86273fd4d84789f6a5865cf5d908	6fa84c4eb693f5656f2635b3c261667f11256c49	全页面统一加载提示、导出功能、单位规范、utils工具库
8585d789e6b1bdfa93999f2f836549fa068affe5	e5447de96f8d40e79d22d9d66e657de50a02a0b8	移除__pycache__缓存，添加.gitignore
efdb50d0ff760264837f9cd7fd06c2377c5c30c1	68f8659a81290029ce0683dff7aa44d7f3c497a0	修复Streamlit Cloud路径兼容性
a441f6904d2450927c2c6b814db4e618856ccd52	9c6f26aa688c9980dce62d2eae5ad1fc35acd47f	add proposal doc
0d985c3c11e2d8ecd039cdc5943faf4308eea250	92d61658f59e680be01b909dcaec0d55232c73de	封面设计 + Master Dashboard 试验页面
b0e63dce949b0ec119ee942c78c036fa45538a65	2b1d517a7b85cce6642820c464193c109b597fc6	fix: plotly template error (plotly_dark + direct colors)
63651d97dd7176540527aaf6d7e322dcfb4cabb7	0f2400e68440a482c8b19af909cd9dc3651e0b27	Add files via upload
8efdfe05d13d545cc898c23a3dbead552dbc234e	a89de1afad8753b0c1b90c49bbfcc22b76bb24d5	docs: 整理019fcc85分支内容，补充研究目标说明、沟通日志与问题清单
2e61da666202781ba6f833f53e55937a7290b2c0	b52ae43c0f29cb3c62e1ee9effbe854935d69d3e	封面设计 + Master Dashboard 试验页面
5bc02bbe06624bafe580e5d1c27e5db1c6fd5f94	7c3f159b23408fba91171e41ce55af44aa2a386a	fix: plotly template error (plotly_dark + direct colors)
2af746a6b2a427e17a5daaab9ac279bc43477779	bf9c0d2df95cf0b57818b84d61c73be01c2313eb	Add files via upload
ccd86e228f41125622d6e1cdc57fb5edb434c268	dedda90aa603e882f4c78c66e22cd917788ff7c1	docs: 重写文档中心——阶段性交付方案、成员清单、研究综述、李良星20问、沟通记录
6e654b8b1e77fabfabba890fb8097e0f81cd5b43	e06e501f8042161ea01b8294eac81162436b976e	Add files via upload
